AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14248,14248,Dressel 20,Bonn,an der Heerstrasse,50.73438,7.095485,"CEFP, sine imagine",CEFP,,La Catria,,,,,,,,,
14303,14303,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LFCCVFCM, sine imagine",LFCCVFCM,,,,,,,,,,,
14349,14349,Dressel 20,Bonn,Bonn,50.73438,7.095485,"DFF, sine imagine",DFF,,Arva,,,,,,,,,
14349,14349,Dressel 20,Bonn,Bonn,50.73438,7.095485,"DFF, sine imagine",DFF,,El Tejarillo,,,,,,,,,
14449,14449,Dressel 20,Bonn,Bonn,50.73438,7.095485,"CIALB, sine imagine",CIALB,,Malpica,,,,,,,,,
14565,14565,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,Las Delicias,,,,,,,,,
14584,14584,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,,,,,,,,,
14585,14585,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,,,,,,,,,
14622,14622,Dressel 20,Bonn,Bonn,50.73438,7.095485,"GMMF, sine imagine",GMMF,,Azanaque-Castillejo,,,,,,,,,
14651,14651,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PMSC, sine imagine",PMSC,,El Pinzón,,,,,,,,,
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Alcolea del Río,,,,,,,,,
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Arva,,,,,,,,,
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,El Tejarillo,,,,,,,,,
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Tostoneras,,,,,,,,,
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Alcolea del Río,,,,,,,,,
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Arva,,,,,,,,,
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,El Tejarillo,,,,,,,,,
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Tostoneras,,,,,,,,,
