id,lat,long,type,site,code,place
16069,52.516667,-3.433333,Dressel 20,Caersws,HISPSAENI,Britania
17096,52.516667,-3.433333,Dressel 20,Caersws,VIRG,Britania
17207,52.516667,-3.433333,Dressel 20,Caersws,O,Britania
15504,51.61,-2.766667,Dressel 20,Caerwent,ACIR,Britania
15521,51.61,-2.766667,Dressel 20,Caerwent,SAEQARR,Britania
15535,51.61,-2.766667,Dressel 20,Caerwent,MAEMRVS,Britania
15565,51.61,-2.766667,Dressel 20,Caerwent,CANTONIQVIETI,Britania
15673,51.61,-2.766667,Dressel 20,Caerwent,LAVRGER,Britania
16257,51.61,-2.766667,Dressel 20,Caerwent,IMELISSI,Britania
16571,51.61,-2.766667,Dressel 20,Caerwent,OD,Britania
16598,51.61,-2.766667,Dressel 20,Caerwent,APM,Britania
16604,51.61,-2.766667,Dressel 20,Caerwent,LPMS,Britania
16635,51.61,-2.766667,Dressel 20,Caerwent,PROCVLINI,Britania
16728,51.61,-2.766667,Dressel 20,Caerwent,PORPS,Britania
16769,51.61,-2.766667,Dressel 20,Caerwent,MSMACIRGI,Britania
16799,51.61,-2.766667,Dressel 20,Caerwent,QSRPOR,Britania
16831,51.61,-2.766667,Dressel 20,Caerwent,QSASER,Britania
16845,51.61,-2.766667,Dressel 20,Caerwent,SATVRNINI,Britania
16979,51.61,-2.766667,Dressel 20,Caerwent,SER,Britania
16980,51.61,-2.766667,Dressel 20,Caerwent,SER,Britania
17093,51.61,-2.766667,Dressel 20,Caerwent,VIRGIN,Britania
16741,52.333333,0.083333,Dressel 20,Cambridgeshire,PSAV,Britania
32354,52.333333,0.083333,Dressel 20,Cambridgeshire,FCLC,Britania
15559,51.266667,1.083333,Dressel 20,Canterbury,PANRVF,Britania
15860,51.266667,1.083333,Dressel 20,Canterbury,MCLSB,Britania
15987,51.266667,1.083333,Dressel 20,Canterbury,SFE,Britania
16208,51.266667,1.083333,Dressel 20,Canterbury,LIT,Britania
16301,51.266667,1.083333,Dressel 20,Canterbury,KVFBARCOLSICETAS,Britania
16302,51.266667,1.083333,Dressel 20,Canterbury,BARCOLSICETAS,Britania
16531,51.266667,1.083333,Dressel 20,Canterbury,DOMS,Britania
16599,51.266667,1.083333,Dressel 20,Canterbury,APM,Britania
16608,51.266667,1.083333,Dressel 20,Canterbury,QPPRIX,Britania
16627,51.266667,1.083333,Dressel 20,Canterbury,PONTICI,Britania
16841,51.266667,1.083333,Dressel 20,Canterbury,SATVRNINI,Britania
16850,51.266667,1.083333,Dressel 20,Canterbury,SAXOFERREO,Britania
17106,51.266667,1.083333,Dressel 20,Canterbury,VRSI,Britania
17166,51.266667,1.083333,Dressel 20,Canterbury,SO,Britania
17206,51.266667,1.083333,Dressel 20,Canterbury,NFR,Britania
17215,51.266667,1.083333,Dressel 20,Canterbury,RI,Britania
15430,54.883333,-2.933333,Dressel 20,Carlisle,PALSAEN,Britania
15558,54.883333,-2.933333,Dressel 20,Carlisle,PANNIRVFS,Britania
15602,54.883333,-2.933333,Dressel 20,Carlisle,CANTQVIP,Britania
