id,lat,long,type,site,code,country,locationtype
14114,50.271515,8.566917,Dressel 20,Saalburg,BEL,Germany,Military Camp
14116,50.271515,8.566917,Dressel 20,Saalburg,BELI,Germany,Military Camp
14126,50.271515,8.566917,Dressel 20,Saalburg,MCC,Germany,Military Camp
14134,50.271515,8.566917,Dressel 20,Saalburg,QCCC,Germany,Military Camp
14136,50.271515,8.566917,Dressel 20,Saalburg,QCCE,Germany,Military Camp
14137,50.271515,8.566917,Dressel 20,Saalburg,QCCE,Germany,Military Camp
14141,50.271515,8.566917,Dressel 20,Saalburg,QCCL,Germany,Military Camp
14154,50.271515,8.566917,Dressel 20,Saalburg,LCHE,Germany,Military Camp
14155,50.271515,8.566917,Dressel 20,Saalburg,PCHO,Germany,Military Camp
14157,50.271515,8.566917,Dressel 20,Saalburg,PCHO,Germany,Military Camp
14162,50.271515,8.566917,Dressel 20,Saalburg,SCLH,Germany,Military Camp
14163,50.271515,8.566917,Dressel 20,Saalburg,SCLT,Germany,Military Camp
14165,50.271515,8.566917,Dressel 20,Saalburg,SCLT,Germany,Military Camp
14166,34.951399,-5.362541,Dressel 20,Saalburg,MCLSBMCLSR,Germany,Military Camp
14170,50.271515,8.566917,Dressel 20,Saalburg,LCM,Germany,Military Camp
14172,50.271515,8.566917,Dressel 20,Saalburg,LCM,Germany,Military Camp
14175,50.271515,8.566917,Dressel 20,Saalburg,LCMY,Germany,Military Camp
14201,50.271515,8.566917,Dressel 20,Saalburg,MMCSANTO,Germany,Military Camp
14202,50.271515,8.566917,Dressel 20,Saalburg,MMCSANTO,Germany,Military Camp
14204,50.271515,8.566917,Dressel 20,Saalburg,MMCSANTO,Germany,Military Camp
14222,50.271515,8.566917,Dressel 20,Saalburg,PCLODIICELI,Germany,Military Camp
14247,50.271515,8.566917,Dressel 20,Saalburg,CEFP,Germany,Military Camp
14249,50.271515,8.566917,Dressel 20,Saalburg,HER,Germany,Military Camp
14255,50.271515,8.566917,Dressel 20,Saalburg,IIINNIIVL,Germany,Military Camp
14268,50.271515,8.566917,Dressel 20,Saalburg,EQFAT,Germany,Military Camp
14276,50.271515,8.566917,Dressel 20,Saalburg,EVTICIEVETICHI,Germany,Military Camp
14293,50.271515,8.566917,Dressel 20,Saalburg,LFCCVF,Germany,Military Camp
14316,50.271515,8.566917,Dressel 20,Saalburg,LFCFP,Germany,Military Camp
14321,50.271515,8.566917,Dressel 20,Saalburg,LFCCV,Germany,Military Camp
14328,50.271515,8.566917,Dressel 20,Saalburg,QFC,Germany,Military Camp
14332,50.271515,8.566917,Dressel 20,Saalburg,QFC,Germany,Military Camp
14341,50.271515,8.566917,Dressel 20,Saalburg,SFE,Germany,Military Camp
14347,50.271515,8.566917,Dressel 20,Saalburg,DFF,Germany,Military Camp
14372,50.271515,8.566917,Dressel 20,Saalburg,QFPP,Germany,Military Camp
14390,50.271515,8.566917,Dressel 20,Saalburg,FOLS,Germany,Military Camp
14391,50.271515,8.566917,Dressel 20,Saalburg,QFVLNIC,Germany,Military Camp
14399,50.271515,8.566917,Dressel 20,Saalburg,FGRV,Germany,Military Camp
14404,50.271515,8.566917,Dressel 20,Saalburg,QHRSIL,Germany,Military Camp
14413,50.271515,8.566917,Dressel 20,Saalburg,DIA,Germany,Military Camp
14431,50.271515,8.566917,Dressel 20,Saalburg,QIAFS,Germany,Military Camp
14443,50.271515,8.566917,Dressel 20,Saalburg,CIALB,Germany,Military Camp
14457,50.271515,8.566917,Dressel 20,Saalburg,LIDFITA,Germany,Military Camp
14482,50.271515,8.566917,Dressel 20,Saalburg,QIMFN,Germany,Military Camp
14483,50.271515,8.566917,Dressel 20,Saalburg,QIMFN,Germany,Military Camp
