"","id","lat","long","type","site","code","country","locationtype"
"242",14134,50.271515,8.566917,"Dressel 20","Saalburg","QCCC","Germany","Military Camp"
"243",14136,50.271515,8.566917,"Dressel 20","Saalburg","QCCE","Germany","Military Camp"
"244",14137,50.271515,8.566917,"Dressel 20","Saalburg","QCCE","Germany","Military Camp"
"245",14141,50.271515,8.566917,"Dressel 20","Saalburg","QCCL","Germany","Military Camp"
"246",14154,50.271515,8.566917,"Dressel 20","Saalburg","LCHE","Germany","Military Camp"
"247",14155,50.271515,8.566917,"Dressel 20","Saalburg","PCHO","Germany","Military Camp"
"248",14157,50.271515,8.566917,"Dressel 20","Saalburg","PCHO","Germany","Military Camp"
"249",14162,50.271515,8.566917,"Dressel 20","Saalburg","SCLH","Germany","Military Camp"
"250",14163,50.271515,8.566917,"Dressel 20","Saalburg","SCLT","Germany","Military Camp"
"251",14165,50.271515,8.566917,"Dressel 20","Saalburg","SCLT","Germany","Military Camp"
"252",14166,34.951399,-5.362541,"Dressel 20","Saalburg","MCLSBMCLSR","Germany","Military Camp"
"253",14170,50.271515,8.566917,"Dressel 20","Saalburg","LCM","Germany","Military Camp"
"254",14172,50.271515,8.566917,"Dressel 20","Saalburg","LCM","Germany","Military Camp"
"255",14175,50.271515,8.566917,"Dressel 20","Saalburg","LCMY","Germany","Military Camp"
"256",14201,50.271515,8.566917,"Dressel 20","Saalburg","MMCSANTO","Germany","Military Camp"
"257",14202,50.271515,8.566917,"Dressel 20","Saalburg","MMCSANTO","Germany","Military Camp"
"258",14204,50.271515,8.566917,"Dressel 20","Saalburg","MMCSANTO","Germany","Military Camp"
"259",14222,50.271515,8.566917,"Dressel 20","Saalburg","PCLODIICELI","Germany","Military Camp"
"260",14247,50.271515,8.566917,"Dressel 20","Saalburg","CEFP","Germany","Military Camp"
"261",14249,50.271515,8.566917,"Dressel 20","Saalburg","HER","Germany","Military Camp"
"262",14255,50.271515,8.566917,"Dressel 20","Saalburg","IIINNIIVL","Germany","Military Camp"
"263",14268,50.271515,8.566917,"Dressel 20","Saalburg","EQFAT","Germany","Military Camp"
"264",14276,50.271515,8.566917,"Dressel 20","Saalburg","EVTICIEVETICHI","Germany","Military Camp"
"265",14293,50.271515,8.566917,"Dressel 20","Saalburg","LFCCVF","Germany","Military Camp"
"266",14316,50.271515,8.566917,"Dressel 20","Saalburg","LFCFP","Germany","Military Camp"
"267",14321,50.271515,8.566917,"Dressel 20","Saalburg","LFCCV","Germany","Military Camp"
