id;lat;long;type;site;code;name
13234;-5.666942;37.615058;Dressel 20;Alcolea del Río;CCLM;Baetica
13265;-5.107258;37.802053;Dressel 20;Posadas;LFC;Baetica
12329;-5.082599;37.542203;Dressel 20;Écija;LFCS;Baetica
26680;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
38813;-5.082599;37.542203;Dressel 20;Écija;FELICIS;Baetica
13540;-5.666942;37.615058;Dressel 20;Alcolea del Río;MMCS;Baetica
38803;-5.082599;37.542203;Dressel 20;Écija;LVIVCV;Baetica
10942;-5.082599;37.542203;Dressel 20;Écija;MMEVIMMEN;Baetica
13124;-5.646083;37.471248;Dressel 20;Carmona;LMVE;Baetica
11528;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
13544;-5.666942;37.615058;Dressel 20;Alcolea del Río;MMCS;Baetica
29660;-5.871389;37.549445;Dressel 20;Brenes;VIRGIN;Baetica
38825;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
28212;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
33331;-5.52751;37.658961;Dressel 20;Lora del Río;EROTI;Baetica
11329;-5.281208;37.700239;Dressel 20;Palma del Río;AVRELIHERACLAE;Baetica
11646;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CIVLIBAR;Baetica
872;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
13192;-5.666942;37.615058;Dressel 20;Alcolea del Río;N;Baetica
13673;-5.646083;37.471248;Dressel 20;Carmona;ST;Baetica
12034;-5.02037;37.810702;Dressel 20;Almodóvar del Río;MD;Baetica
13548;-5.666942;37.615058;Dressel 20;Alcolea del Río;MMCS;Baetica
10894;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
10943;-5.082599;37.542203;Dressel 20;Écija;LAEL;Baetica
11594;-5.107258;37.802053;Dressel 20;Posadas;MAT;Baetica
12885;-5.082599;37.542203;Dressel 20;Écija;ROMAN;Baetica
11899;-5.02037;37.810702;Dressel 20;Almodóvar del Río;FCNE;Baetica
38851;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
12028;-5.02037;37.810702;Dressel 20;Almodóvar del Río;GO;Baetica
13508;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12288;-5.281208;37.700239;Dressel 20;Palma del Río;GALENI;Baetica
11255;-5.281208;37.700239;Dressel 20;Palma del Río;CI;Baetica
41773;-5.52751;37.658961;Dressel 20;Lora del Río;QAEAD;Baetica
10933;-5.082599;37.542203;Dressel 20;Écija;SIP;Baetica
11170;-5.52751;37.658961;Dressel 20;Lora del Río;QIM;Baetica
13205;-5.666942;37.615058;Dressel 20;Alcolea del Río;SALS;Baetica
38806;-5.082599;37.542203;Dressel 20;Écija;GEHE;Baetica
11166;-5.52751;37.658961;Dressel 20;Lora del Río;SAENIANES;Baetica
13482;-5.666942;37.615058;Dressel 20;Alcolea del Río;IICCLLM;Baetica
38959;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
13612;-5.646083;37.471248;Dressel 20;Carmona;STATN;Baetica
17700;-5.666942;37.615058;Dressel 20;Alcolea del Río;OFFBA;Baetica
11328;-5.281208;37.700239;Dressel 20;Palma del Río;SAXOFERREO;Baetica
11114;-5.52751;37.658961;Dressel 20;Lora del Río;POROCODV;Baetica
33352;-5.52751;37.658961;Dressel 20;Lora del Río;MHICA;Baetica
38878;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
13571;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
11591;-5.107258;37.802053;Dressel 20;Posadas;MAT;Baetica
6752;-5.52751;37.658961;Dressel 20;Lora del Río;CEFP;Baetica
6856;-5.52751;37.658961;Dressel 20;Lora del Río;ALF;Baetica
7138;-5.52751;37.658961;Dressel 20;Lora del Río;CRROP;Baetica
7012;-5.52751;37.658961;Dressel 20;Lora del Río;POPVLI;Baetica
931;-5.281208;37.700239;Dressel 20;Palma del Río;PCHO;Baetica
11721;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CMARISILVANI;Baetica
28096;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
38789;-5.082599;37.542203;Dressel 20;Écija;GERMA;Baetica
13238;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12220;-5.09965;37.704938;Dressel 20;Fuente Palmera;LFC;Baetica
11340;-5.281208;37.700239;Dressel 20;Palma del Río;BEL;Baetica
10891;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
12435;-5.281208;37.700239;Dressel 20;Palma del Río;QA;Baetica
38922;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
11042;-5.871389;37.549445;Dressel 20;Brenes;CVV;Baetica
11122;-5.52751;37.658961;Dressel 20;Lora del Río;POPVLI;Baetica
6995;-5.52751;37.658961;Dressel 20;Lora del Río;GPC;Baetica
12401;-5.082599;37.542203;Dressel 20;Écija;LIDFIT;Baetica
13619;-5.646083;37.471248;Dressel 20;Carmona;TATILIASIATICI;Baetica
12481;-5.52751;37.658961;Dressel 20;Lora del Río;NIA;Baetica
32342;-5.696078;37.447006;Dressel 20;Sevilla;ROM;Baetica
26692;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
11271;-5.52751;37.658961;Dressel 20;Lora del Río;LFFV;Baetica
13561;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
26639;-5.233333;37.833333;Dressel 20;Hornachuelos;PAH;Baetica
13627;-5.646083;37.471248;Dressel 20;Carmona;LER;Baetica
26739;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
7062;-5.52751;37.658961;Dressel 20;Lora del Río;QVNTI;Baetica
38840;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
12867;-5.082599;37.542203;Dressel 20;Écija;IISILVESTRI;Baetica
11693;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CMARISILVANI;Baetica
13201;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
41693;-5.082599;37.542203;Dressel 20;Écija;QCCFC;Baetica
38895;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
28101;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
12212;-5.09965;37.704938;Dressel 20;Fuente Palmera;AATF;Baetica
33355;-5.52751;37.658961;Dressel 20;Lora del Río;QAEOPO;Baetica
7182;-5.52751;37.658961;Dressel 20;Lora del Río;LIT;Baetica
858;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
38814;-5.082599;37.542203;Dressel 20;Écija;FELICIS;Baetica
6650;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
38879;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
6656;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
6828;-5.52751;37.658961;Dressel 20;Lora del Río;MIM;Baetica
13570;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
11056;-5.082599;37.542203;Dressel 20;Écija;SILVESTRI;Baetica
6646;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
11514;-5.281208;37.700239;Dressel 20;Palma del Río;CIVE;Baetica
38791;-5.082599;37.542203;Dressel 20;Écija;GERMA;Baetica
