,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,,,,,,
,14271,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|EROTIs|,EROTIS,,,,,,,
,14278,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|Q·FA^LB*,QFALB…,,,,,,,
,14281,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L(-)F(-)C|,LFC,,,,,,,
,14284,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCA·BAB|,LFCABAB,,,,,,,
,14290,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCCVCAT|,LFCCVCAT,,,,,,,
,14290,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCCVCAT|,LFCCVCAT,,,,,,,
,14295,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCCVFCM''|,LFCCVFCM,,,,,,,
,14300,Dressel 20,Frankfurt am Main,,50.11552,8.684167,lF!C·CVVM',LFCCVVM?,,,,,,,
,14301,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[L]FCCV'FM|,LFCCVFM,,,,,,,
,14307,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCCV(--)FMS|,LFCCVFMS,,,,,,,
,14314,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCFP|,LFCFP,,,,,,,
,14315,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFCFP'',LFCFP,,,,,,,
,14325,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|Q·F·C|,QFC,,,,,,,
,14330,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|Q·F'·CF'|,QFCF,,,,,,,
,14337,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|P'OR·MFDIA^B|,PORMFDIAB,,,,,,,
,14339,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MFDIA|,MFDIA,,,,,,,
,14355,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFFV|,LFFV,,,,,,,
,14355,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LFFV|,LFFV,,,,,,,
,14361,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|S·F·F'·,SFF,,,,,,,
,14374,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|M·F·R|,MFR,,,,,,,
,14376,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|POR·L·F·S|,PORLFS,,,,,,,
,14389,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MFLAVI,MFLAVI,,,,,,,
,14396,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|P^H^I^LO|,PHILO,,,,,,,
,14398,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|G''ALLICI|,GALLICI,,,,,,,
,14400,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|K·V·FIG·GRVM|/|COL·SIC·ET·ASI|,KVFIGGRVMCOLSICETASI,,,,,,,
,14402,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|P'·Q·H^EH^E',PQHEHE,,,,,,,
,14403,Dressel 20,Frankfurt am Main,,50.11552,8.684167,XIIIIHP|,XIIIIHP,,,,,,,
