AreaTitle,AmphoraIdentifier,AmphoricTypeTitle,SimplifiedTranscription,FullTranscription,FindingPlaceLongitude,FindingPlaceLatitude,FindingPlaceTitle,ProductionPlaceTitle,ProductionPlaceLatitude,ProductionPlaceLongitude,CountryTitle,,,,
Dieburg,27413,Dressel 20,ACIRC,|ACIRC,8.846132,49.897382,"a. 1926, Mithräum.",La Catria,37.648779,-5.506146,Germany,,,,
Dieburg,27414,Dressel 20,MMCSVR,MMCS~V^R,8.846132,49.897382,Dieburg,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Dieburg,27414,Dressel 20,MMCSVR,MMCS~V^R,8.846132,49.897382,Dieburg,El Tejarillo,37.61618,-5.644928,Germany,,,,
Dieburg,27415,Dressel 20,FICINA…?,|F''ICIN^A'*,8.846132,49.897382,"a. 1960, Gärtnerei Coy.",,,,Germany,,,,
Dieburg,27416,Dressel 20,COL?,|COL''|,8.846132,49.897382,"Gräberfeld I, Grab 37.",,,,Germany,,,,
Dieburg,27417,Dressel 20,IIIENNIVL((PALMA)),[IIIE]N''N·IV^L((palma)),8.846132,49.897382,"Alstadt, Apotheke Hinkel.",huerta del río,37.660348,-5.507948,Germany,,,,
Dieburg,27418,Dressel 20,QFRRIV,QFRRIV|,8.846132,49.897382,"Nr. 23, Bef. 2.",Arva,37.623647,-5.604665,Germany,,,,
Dieburg,27423,Dressel 20,AS,|AS|,8.846132,49.897382,"Nr. 23, rechteckige Grube unter Bef. 26.",,,,Germany,,,,
Dieburg,27423,Dressel 20,SVPERSTISFEC (SVPERSTITISFIIC),|SV^PERST<IS(-)FIIC|,8.846132,49.897382,"Nr. 23, rechteckige Grube unter Bef. 26.",,,,Germany,,,,
Echzell,13963,Dressel 20,PTAN,|PTAN|,8.886115,50.390265,Echzell,,,,Germany,,,,
Eining,12698,Dressel 20,ACIRGI,[AC]IRGI,11.772216,48.85632,Eining,Itálica,37.441422,-6.044948,Germany,,,,
Eisenberg,14224,Dressel 20,PCLODIICELI,"PCLODIICELI, sine imagine",8.071989,49.558592,Eisenberg,Arva,37.623647,-5.604665,Germany,,,,
Eisenberg,14240,Dressel 20,CALPC,"CALPC, sine imagine",8.071989,49.558592,"Eisenberg an der Eis, Donnersbergkreis",,,,Germany,,,,
Emerkingen,14908,Dressel 20,SATVRNINI,|SA^T^V^RNINI|,9.657342,48.212485,Alb-Donau-Kreis,,,,Germany,,,,
Ensch,14726,Dressel 20,DOMS,"DOMS, sine imagine",6.832807,49.828532,"Ensch, Kreis Trier-Saarburg",Alcolea del Río,37.615812,-5.668155,Germany,,,,
Faimingen,14124,Dressel 20,LCANTP,"LCANTP, sine imagine",10.409055,48.561354,Faimingen,La Catria,37.648779,-5.506146,Germany,,,,
Fellbach,11994,Dressel 20,IICCLMM,|IICCLM'M'*,9.277806,48.815624,"Traubenstrasse, in den 60er Jahren.",El Tejarillo,37.61618,-5.644928,Germany,,,,
Fliessem,14761,Dressel 20,APM,"APM, sine imagine",6.541303,50.023811,Villa,El Marchante,37.630921,-5.452824,Germany,,,,
Frankfurt am Main,12016,Dressel 20,CCXV {125},CCXV,8.684167,50.11552,"Lesefund, Ankauf von Markus Hemberger.",,,,Germany,,,,
Frankfurt am Main,12016,Dressel 20,Fisci rationis patrimonis/ Provinciae Baeticae,Fisci Rationis Patrim(onis)/ Provinciae Baeticae,8.684167,50.11552,"Lesefund, Ankauf von Markus Hemberger.",,,,Germany,,,,
Frankfurt am Main,12016,Dressel 20,…X…,[---]X[----],8.684167,50.11552,"Lesefund, Ankauf von Markus Hemberger.",,,,Germany,,,,
